author,desc,genre,img,release,score,time,title
Christopher Nolan,"<div class=""content-txt "">
Au lieu de subtiliser un rêve, un voleur expérimenté et son équipe doivent faire l'inverse : implanter une idée dans l'esprit d'un individu. S'ils y parviennent, il pourrait s'agir du crime parfait ...
</div>","Science Fiction,Thriller",Inception,12 août 2020,"4,1",None,"Inception,Christopher Nolan,Leonardo DiCaprio,Marion Cotillard,Elliot Page, Spectateurs ,Mes amis "
Irvin Kershner,"<div class=""content-txt "">
Malgré la destruction de l'Etoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales...
</div>","Aventure,Science Fiction",Star Wars : Episode V - L'Empire contre-attaque,9 avril 1997,"5,0",None,"Star Wars : Episode V - L'Empire contre-attaque,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher, Spectateurs ,Mes amis "
David Fincher,"<div class=""content-txt "">
John Doe a decidé de nettoyer la societé des maux qui la rongent en commettant sept meurtres bases sur les sept pechés capitaux.
</div>","Policier,Thriller",Seven,None,"3,6",None,"Seven,David Fincher,Brad Pitt,Morgan Freeman,Gwyneth Paltrow, Spectateurs ,Mes amis "
Robert Zemeckis,"<div class=""content-txt "">
Après être arrivé en 1955 à bord d'une DeLorean convertie en machine à remonter le temps, Marty McFly fonce pour s'assurer que ses futurs parents tombent amoureux.
</div>","Aventure,Comédie,Science Fiction",Retour vers le futur,None,"3,6",None,"Retour vers le futur,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson, Spectateurs ,Mes amis "
Roberto Benigni,"<div class=""content-txt "">
En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les ...
</div>","Comédie,Drame",La Vie est belle,None,"3,7",None,"La Vie est belle,Roberto Benigni,Horst Buchholz,Marisa Paredes, Spectateurs ,Mes amis "
Bryan Singer,"<div class=""content-txt "">
Suite à une mystérieuse dénonciation, cinq criminels se retrouvent en garde à vue. Plus tard, engagés sur un coup par le génie du crime Keyser Söze, les cinq hommes sont pris au piège d’une diabolique machination…
</div>","Policier,Thriller",Usual Suspects,18 juillet 2001,"4,6",None,"Usual Suspects,Bryan Singer,Chazz Palminteri,Kevin Spacey,Gabriel Byrne, Spectateurs ,Mes amis "
Charles Chaplin,"<div class=""content-txt "">
Charlot est ouvrier dans une immense usine. Il resserre quotidiennement des boulons. Mais les machines, le travail à la chaîne le rendent malade, il abandonne son poste et recueille une orpheline…
</div>","Comédie dramatique,Romance",Les Temps modernes,10 juillet 2019,"4,6",None,"Les Temps modernes,Charles Chaplin,Paulette Goddard,Henry Bergman, Spectateurs ,Mes amis "
None,"<div class=""content-txt "">
Lâchée par son amant, une jeune femme abandonne son enfant. Charlot le vagabond le recueille. Mais les services sociaux s’en mêlent...
</div>",Comédie,Le Kid,10 juillet 2019,"4,0",None,"Le Kid,Jackie Coogan,Edna Purviance, Spectateurs ,Mes amis "
Isao Takahata,"<div class=""content-txt "">
Japon, été 1945. Après le bombardement de Kobé, Seita, un adolescent de quatorze ans et sa petite soeur de quatre ans, Setsuko, orphelins, vont s'installer chez leur tante à quelques dizaines de kilomètres de chez eux. Celle-ci leur fait comprendre qu'ils sont une gêne pour la famille et doivent mériter leur riz quotidien. Seita décide de ...
</div>","Animation,Drame,Guerre",Le Tombeau des lucioles,None,"4,0",None,"Le Tombeau des lucioles,Isao Takahata,J. Robert Spencer,Ayano Shiraishi,Veronica Taylor, Spectateurs ,Mes amis "
Damien Chazelle,"<div class=""content-txt "">
Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement...
</div>","Drame,Musical",Whiplash,None,"4,1",None,"Whiplash,Damien Chazelle,Miles Teller,J.K. Simmons,Paul Reiser, Spectateurs ,Mes amis "
Tony Kaye,"<div class=""content-txt "">
Derek veut venger la mort de son père, abattu par un dealer noir, et épouse les thèses racistes d'un groupuscule de militants d'extrême droite. Ces théories le mèneront à commettre un double meurtre...
</div>",Drame,American History X,None,"2,8",None,"American History X,Tony Kaye,Edward Norton,Edward Furlong,Elliott Gould, Spectateurs ,Mes amis "
Alfred Hitchcock,"<div class=""content-txt "">
Une jeune femme en fuite trouve refuge dans un motel isolé...
</div>","Epouvante-horreur,Thriller",Psychose,6 avril 2022,"4,5",None,"Psychose,Alfred Hitchcock,Anthony Perkins,Janet Leigh,John Gavin, Spectateurs ,Mes amis "
Charles Chaplin,"<div class=""content-txt "">
 Dans le ghetto juif vit un petit barbier qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l’extermination du peuple juif. Au cours d’une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d’Hynkel...
</div>",Comédie,Le Dictateur,10 juillet 2019,"5,0",None,"Le Dictateur,Charles Chaplin,Jack Oakie,Paulette Goddard, Spectateurs ,Mes amis "
Lee Unkrich,"<div class=""content-txt "">
Depuis déjà plusieurs générations, la musique est bannie dans la famille de Miguel. Un vrai déchirement pour le jeune garçon dont le rêve ultime est de devenir un musicien aussi accompli que son idole, Ernesto de la Cruz. 
</div>","Animation,Famille,Fantastique",Coco,None,"4,1",None,"Coco,Lee Unkrich,Adrian Molina,Andrea Santamaria,Anthony Gonzalez (VIII),Benjamin Bratt, Spectateurs ,Mes amis "
Makoto Shinkai,"<div class=""content-txt "">
Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d’imaginer pouvoir vivre l’aventure urbaine dans la peau de… Taki, un jeune lycéen vivant à Tokyo, occupé entre son petit boulot dans un restaurant italien et ses nombreux amis.
</div>","Animation,Fantastique",Your Name,None,"4,0",None,"Your Name,Makoto Shinkai,Yoann Borg,Ryûnosuke Kamiki,Alice Orsat, Spectateurs ,Mes amis "
Bong Joon Ho,"<div class=""content-txt "">
Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable...
</div>",Thriller,Parasite,None,"4,8",None,"Parasite,Bong Joon Ho,Song Kang-Ho,Woo-sik Choi,Park So-Dam, Spectateurs ,Mes amis "
Martin Scorsese,"<div class=""content-txt "">
Depuis sa plus tendre enfance, Henry Hill, né d'un père irlandais et d'une mère sicilienne, veut devenir gangster et appartenir à la Mafia. Adolescent dans les années cinquante, il commence par travailler pour le compte de Paul Cicero...
</div>","Drame,Thriller",Les Affranchis,None,"5,0",None,"Les Affranchis,Martin Scorsese,Ray Liotta,Robert De Niro,Joe Pesci, Spectateurs ,Mes amis "
None,"<div class=""content-txt "">
Le narrateur, vit seul, travaille seul, dort seul, comme beaucoup d'autres personnes seules qui connaissent la misère morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin dirigé par Tyler Durden, anarchiste entre gourou et philosophe.
</div>","Drame,Thriller",Fight Club,15 mai 2019,"2,7",None,"Fight Club,Edward Norton,Helena Bonham Carter, Spectateurs ,Mes amis "
Francis Ford Coppola,"<div class=""content-txt "">
Depuis la mort de Don Vito Corleone, son fils Michael règne sur la famille. Amené à négocier avec la mafia juive, il perd le soutien de son lieutenant Frankie Pentageli. Echappant de justesse à un attentat, Michael tente de retrouver le coupable...
</div>","Policier,Drame","Le Parrain, 2e partie",18 septembre 2013,"4,7",None,"Le Parrain, 2e partie,Francis Ford Coppola,Kathleen Beller,Ignazio Pappalardo,Roman Coppola, Spectateurs ,Mes amis "
Peter Farrelly,"<div class=""content-txt "">
En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts.
</div>","Biopic,Drame",Green Book : Sur les routes du sud,None,"4,0",None,"Green Book : Sur les routes du sud,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini, Spectateurs ,Mes amis "
Quentin Tarantino,"<div class=""content-txt "">
L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.
</div>","Policier,Thriller",Pulp Fiction,None,"4,4",None,"Pulp Fiction,Quentin Tarantino,John Travolta,Samuel L. Jackson,Uma Thurman, Spectateurs ,Mes amis "
Sergio Leone,"<div class=""content-txt "">
Un mystérieux desperado pourchasse sans relâche un dangereux criminel.
</div>",Western,Il était une fois dans l'Ouest,10 octobre 2018,"4,0",None,"Il était une fois dans l'Ouest,Sergio Leone,Henry Fonda,Charles Bronson,Frank Wolff, Spectateurs ,Mes amis "
None,"<div class=""content-txt "">
Pendant la Guerre de Sécession, Tuco, Joe et Setenza, trois hommes préférant s'intéresser à leur profit personnel, se lancent à la recherche d'un coffre contenant 200 000 dollars en pièces d'or volés à l'armée sudiste. Chacun a besoin de l'autre...
</div>",Western,"Le Bon, la brute et le truand",5 novembre 2014,"4,1",None,"Le Bon, la brute et le truand,Clint Eastwood,Eli Wallach,Lee Van Cleef, Spectateurs ,Mes amis "
Robert Zemeckis,"<div class=""content-txt "">
Quelques décennies d'histoire américaine, des années 1940 à la fin du XXème siècle, à travers le regard et l'étrange odyssée d'un homme simple et pur, Forrest Gump.
</div>","Comédie,Drame,Romance",Forrest Gump,28 octobre 2015,"2,6",None,"Forrest Gump,Robert Zemeckis,Tom Hanks,Gary Sinise,Robin Wright, Spectateurs ,Mes amis "
Steven Spielberg,"<div class=""content-txt "">
Evocation des années de guerre d'Oskar Schindler, industriel autrichien rentré à Cracovie en 1939 avec les troupes allemandes. Il va, tout au long de la guerre, protéger des juifs en les faisant travailler dans sa fabrique.
</div>","Historique,Guerre",La Liste de Schindler,13 mars 2019,"4,2",None,"La Liste de Schindler,Steven Spielberg,Liam Neeson,Ben Kingsley,Ralph Fiennes, Spectateurs ,Mes amis "
None,"<div class=""content-txt "">
Il était une fois deux truands juifs, Max et Noodles, liés par un pacte d'éternelle amitié. Débutant au début du siècle par de fructueux trafics dans le ghetto de New York, ils voient leurs chemins se séparer, lorsque Noodles se retrouve durant quelques années derrière les barreaux, puis se recouper en pleine période de prohibition, dans les années vingt. Jusqu'au jour où la trahison les sépare à nouveau.
</div>","Policier,Drame",Il était une fois en Amérique,6 mai 2015,"4,9",None,"Il était une fois en Amérique,Robert De Niro,James Woods,Elizabeth McGovern, Spectateurs ,Mes amis "
None,"<div class=""content-txt "">
Le parcours d'un chasseur de prime allemand et d'un homme noir pour retrouver la femme de ce dernier retenue en esclavage par le propriétaire d'une plantation...
</div>",Western,Django Unchained,None,"4,6",None,"Django Unchained,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio, Spectateurs ,Mes amis "
Peter Jackson,"<div class=""content-txt "">
Frodon le Hobbit hérite de l'Anneau Unique, un instrument de pouvoir absolu qui permettrait à Sauron, le Seigneur des ténèbres, de régner sur la Terre du Milieu. Commence alors un vaste périple visant à la destruction de l'objet.
</div>","Aventure,Fantastique",Le Seigneur des anneaux : la communauté de l'anneau,None,"3,7",None,"Le Seigneur des anneaux : la communauté de l'anneau,Peter Jackson,Elijah Wood,Sean Astin,Ian McKellen, Spectateurs ,Mes amis "
Ridley Scott,"<div class=""content-txt "">
Le général romain Maximus est le plus fidèle soutien de l'empereur Marc Aurèle, qu'il a conduit de victoire en victoire avec une bravoure et un dévouement exemplaires. Jaloux du prestige de Maximus, et plus encore de l'amour que lui voue l'empereur, le fils de MarcAurèle, Commode, s'arroge brutalement le pouvoir, puis ordonne l'arrestation du ...
</div>","Action,Aventure",Gladiator,None,"4,3",None,"Gladiator,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen, Spectateurs ,Mes amis "
None,"<div class=""content-txt "">
Walt Kowalski est un ancien de la guerre de Corée, un homme inflexible, amer et pétri de préjugés surannés. Hormis sa chienne Daisy, il ne fait confiance qu'à son M-1, toujours propre, toujours prêt à l'usage...
</div>","Drame,Thriller",Gran Torino,None,"4,7",None,"Gran Torino,Bee Vang,Ahney Her, Spectateurs ,Mes amis "
None,"<div class=""content-txt "">
Frodon Sacquet, le Hobbit, doit braver de terribles dangers pour tenter de détruire l'Anneau Unique, convoité par Sauron, le Seigneur des ténèbres. De leur côté, Gimli, Legolas et Aragorn doivent sauver Pippin et Merry, capturés par les Orques...
</div>","Aventure,Fantastique",Le Seigneur des anneaux : les deux tours,None,"4,0",None,"Le Seigneur des anneaux : les deux tours,Viggo Mortensen, Spectateurs ,Mes amis "
Christopher Nolan,"<div class=""content-txt "">
Le film raconte les aventures d’un groupe d’explorateurs qui utilisent une faille récemment découverte dans l’espace-temps afin de repousser les limites humaines et partir à la conquête des distances astronomiques dans un voyage interstellaire. 
</div>","Drame,Science Fiction",Interstellar,None,"3,8",None,"Interstellar,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Michael Caine, Spectateurs ,Mes amis "
Frank Darabont,"<div class=""content-txt "">
Paul Edgecomb, Gardien-chef du pénitencier de Cold Mountain en 1935, était chargé de veiller au bon déroulement des exécutions capitales. Parmi les prisonniers se trouvait un colosse du nom de John Coffey...
</div>","Policier,Fantastique",La Ligne verte,None,"2,8",None,"La Ligne verte,Frank Darabont,Michael Clarke Duncan,David Morse, Spectateurs ,Mes amis "
Sidney Lumet,"<div class=""content-txt "">
Lors d'un procès, un juré émet l'hypothèse que l'homme qu'il doit juger n'est peut-être pas coupable. Il va tenter de convaincre les onze autres jurés.
</div>",Drame,12 hommes en colère,25 juillet 2007,"5,0",None,"12 hommes en colère,Sidney Lumet,Henry Fonda,Martin Balsam,John Fiedler, Spectateurs ,Mes amis "
Francis Ford Coppola,"<div class=""content-txt "">
En 1945, à New York, les Corleone sont une des cinq familles de la mafia. Don Vito Corleone marie sa fille à un bookmaker. Sollozzo, ""parrain"" de la famille Tattaglia, propose à Don Vito une association dans le trafic de drogue...
</div>","Policier,Drame",Le Parrain,23 février 2022,"4,6",None,"Le Parrain,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan, Spectateurs ,Mes amis "
None,"<div class=""content-txt "">
Condamné à perpétuité pour le meurtre de sa femme et de son amant, un banquier s'accroche à l'espoir et se lie d'amitié avec un autre détenu pour survivre en prison.
</div>",Drame,Les Evadés,None,"3,2",None,"Les Evadés,Tim Robbins,Morgan Freeman,Bob Gunton, Spectateurs ,Mes amis "
Peter Jackson,"<div class=""content-txt "">
Tandis que les ténèbres se répandent sur la Terre du Milieu, Aragorn se révèle être l'héritier caché des rois antiques. Quant à Frodon, toujours tenté par l'Anneau, il voyage à travers les contrées ennemies, se reposant sur Sam et Gollum...
</div>","Aventure,Fantastique",Le Seigneur des anneaux : le retour du roi,None,"3,8",None,"Le Seigneur des anneaux : le retour du roi,Peter Jackson,Sean Astin,Elijah Wood,Viggo Mortensen, Spectateurs ,Mes amis "
Roger Allers,"<div class=""content-txt "">
Le long combat de Simba le lionceau pour accéder à son rang de roi des animaux, après que le fourbe Scar, son oncle, a tué son père et pris sa place.
</div>","Aventure,Animation,Musical",Le Roi Lion,11 avril 2012,"3,4",None,"Le Roi Lion,Roger Allers,Rob Minkoff,Emmanuel Curtil,Matthew Broderick,Dimitri Rougeul, Spectateurs ,Mes amis "
Milos Forman,"<div class=""content-txt "">
Rebellion dans un hôpital psychiatrique à l'instigation d'un malade qui se révolte contre la dureté d'une infirmière.
</div>",Drame,Vol au-dessus d'un nid de coucou,16 septembre 2009,"5,0",None,"Vol au-dessus d'un nid de coucou,Milos Forman,Jack Nicholson,Louise Fletcher,William Redfield, Spectateurs ,Mes amis "
Christopher Nolan,"<div class=""content-txt "">
Batman entreprend de démanteler les dernières organisations criminelles de Gotham. Mais il se heurte bientôt à un nouveau génie du crime qui répand la terreur et le chaos dans la ville : le Joker...
</div>","Action,Thriller","The Dark Knight, Le Chevalier Noir",None,"4,0",None,"The Dark Knight, Le Chevalier Noir,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart, Spectateurs ,Mes amis "
